PEP_ID,National_ID,LON,LAT,ALT,NAME
6446,5120,14.4167,48.2167,225,ASTEN
6447,12800,13.9333,47.4,1005,KLEINSOELK
6448,15105,12.1667,47.2167,1009,KRIMML
6449,19201,15.9,46.8667,303,BADGLEICHENBERG
6450,6405,13.2333,47.7833,787,FAISTENAU
6451,1800,14.8833,48.6833,580,WEITRA
6452,6410,13.1,47.9667,508,MATTSEE
6453,12810,13.9,47.4333,766,GROEBMING
6454,10508,15.8333,47.65,825,BREITENSTEIN
6455,12300,12.65,47.4,1022,SAALBACH
6456,12301,12.6833,47.3667,1022,SAALBACH
6457,4110,16.35,48.2333,155,WIEN
6458,3600,15.15,48.3833,810,GUTENBRUNN-MARTINSBERG
6459,5904,16.35,48.2333,198,WIEN-HOHEWARTE
6460,10000,14.75,47.6,492,HIEFLAU
6461,16401,15.4833,47.0333,435,GRAZ-MESSENDORFBERG
6462,5650,15.8,48.0667,600,HAINFELD
6463,6420,13.25,47.9833,542,STRASSWALCHEN
6464,14100,9.83333,47.1333,567,BUERS
6465,3605,15.15,48.3667,810,MARTINSBERG
6466,14101,9.65,47.2167,478,FRASTANZ
6467,20245,14.1833,46.5833,530,KEUTSCHACH
6468,20246,14.2833,46.5833,498,LAMBICHL
6469,5400,15.35,48.2,240,MELK
6470,7704,16.5333,47.85,184,EISENSTADT-NORDOST
6471,18200,13.4333,46.8333,580,LITZLHOF
6472,16411,15.4833,47.1667,725,ST.RADEGUND
6473,9500,13.3333,47.55,714,ABTENAU
6474,12320,12.7833,47.3,753,ZELLAMSEE
6475,13600,16.0167,47.25,429,ALTENBERG
6476,20001,13.6833,46.6167,907,BADBLEIBERG
6477,5410,15.2,48.05,297,OBERNDORF
6478,10530,16,47.7,415,POTTSCHACH
6479,12322,12.7833,47.3167,766,ZELLAMSEE
6480,18210,13.5667,46.8,719,MILLSTATT
6481,3620,15.1167,48.4333,911,TRAUNSTEIN
6482,4900,13.8667,48.0833,360,LAMBACH
6483,11300,10.0833,47.25,1263,SCHROECKEN
6484,3110,13.85,48.3167,370,WAIZENKIRCHEN
6485,5926,16.35,48.2333,202,WIEN19
6486,14630,10.9333,47.1333,1041,UMHAUSEN
6487,20262,14.1,46.7167,556,FELDKIRCHEN
6488,5927,16.45,48.25,161,WIEN22
6489,2600,16.9,48.6167,155,HOHENAU
6490,7720,16.5,47.75,160,ZAGERSDORF
6491,15400,13,47.2167,945,RAURIS
6492,11305,10.1833,47.25,1475,WARTH
6493,15402,12.9833,47.2167,941,RAURIS
6494,20010,13.6833,46.7,748,FRESACH
6495,18219,13.4833,46.7833,559,SPITTAL
6496,18220,13.5333,46.7667,524,SPITTAL
6497,19500,12.4333,46.75,1075,SILLIAN
6498,10030,14.6167,47.6833,513,ST.GALLEN
6499,5936,16.4,48.25,163,WIEN
6500,9520,13.415,47.7267,545,ABERSEE
6501,10800,16.6167,47.6,192,DEUTSCHKREUTZ
6502,9010,12.15,47.5667,492,KUFSTEIN
6503,7220,15.3,47.7833,872,ST.SEBASTIAN
6504,21300,14.5833,46.4833,623,EISENKAPPEL
6505,14135,9.7,47.2,519,SCHLINS
6506,13115,14.7667,47.2667,855,SECKAU
6507,9020,12.1167,47.5167,594,BADHAERING
6508,10300,15.4333,47.5,567,KINDBERG
6509,13116,14.7833,47.2667,855,SECKAU(MT)
6510,15420,12.8333,47.0333,1242,HEILIGENBLUT
6511,14400,10.5667,47.1333,818,LANDECK
6512,14401,10.5667,47.1333,785,LANDECK
6513,12610,13.45,47.3833,845,RADSTADT
6514,5700,16,48.0167,397,ALTENMARKT
6515,18500,14.1833,46.8333,705,WEITENSFELD
6516,16710,16.0833,47.2167,400,WOERTERBERG
6517,2120,15.7167,48.5667,302,FREISCHLING
