report_id,report_type,site_species_id,species_id,common_name,family,genus,species,infra_rank,infra_epithet,sec_infra_rank,sec_infra_epithet,cultivar,plant_group_id,official_budburst_species,location_id,latitude,longitude,locality,administrative_area_level_1,postal_code,administrative_area_level_2,country,observation_date,notes,observation_id,phenophase_id,phenophase_plant_structure,phenophase_title
954,phenology,32857,204,"Maximilian sunflower",Asteraceae,Helianthus,maximiliani,,,,,,WH,1,1129,31.622500000000000,-97.240700000000000,Waco,TX,76708,"McLennan County",US,02/25/2008,"Legacy report.",941,LV-FIRSTUNFOLDED,Leaves,"First Leaf Unfolded"
13266,phenology,5219,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,5103,40.307500000000000,-105.084000000000000,Berthoud,CO,80513,"Larimer County",US,09/17/2011,,12952,FL-LATE,Flowers,"Late Flowering"
13267,phenology,5219,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,5103,40.307500000000000,-105.084000000000000,Berthoud,CO,80513,"Larimer County",US,09/17/2011,,12953,FR-MIDDLE,Fruit,"Middle Fruiting"
13281,phenology,5230,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,5114,40.420800000000000,-105.160000000000000,Loveland,CO,80538,"Larimer County",US,09/18/2011,,12966,FL-MIDDLE,Flowers,"Middle Flowering"
13282,phenology,5230,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,5114,40.420800000000000,-105.160000000000000,Loveland,CO,80538,"Larimer County",US,09/18/2011,,12967,FR-MIDDLE,Fruit,"Middle Fruiting"
13422,phenology,5330,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,1270,43.041000000000000,-76.212900000000000,Syracuse,NY,13219,"Onondaga County",US,09/25/2011,"Seeds are beginning to ripen, but they are
n't yet ripe.",13092,FR-FIRST,Fruit,"First Ripe Fruit"
13424,phenology,5331,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,5290,43.040800000000000,-76.212500000000000,Syracuse,NY,13219,"Onondaga County",US,09/25/2011,"There were still a few flowers left. Some
were forming seeds, but not any were ripe. ** I think the squirrels ate them, bu
t I'm not sure.",13094,FR-EARLY,Fruit,"Early Fruiting"
15961,phenology,6420,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,6779,40.316600000000000,-105.098000000000000,Berthoud,CO,80513,"Larimer County",US,05/30/2012,"was right along shore of resevoir
.",15460,FL-FIRST,Flowers,"First Flower"
16409,phenology,6555,204,"Maximilian sunflower",Asteraceae,Helianthus,maximiliani,,,,,,WH,1,6868,46.146900000000000,-99.302000000000000,Lehr,ND,58460,"McIntosh County",US,08/09/2012,,15885,FL-MIDDLE,Flowers,"Middle Flowering"
21238,phenology,8455,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,9063,37.588100000000000,-122.320000000000000,"San Mateo",CA,94401,"San Mateo County",US,06/21/2013,"some are buds, they had all the flower sta
ges",20239,FL-MIDDLE,Flowers,"Middle Flowering"
21239,phenology,8456,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,9064,37.587600000000000,-122.321000000000000,"San Mateo",CA,94401,"San Mateo County",US,06/21/2013,,20240,FL-EARLY,Flowers,"Early Flowering"
21539,phenology,8597,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,9153,35.381800000000000,-83.196500000000000,Sylva,NC,28779,"Jackson County",US,07/14/2013,,20538,FL-MIDDLE,Flowers,"Middle Flowering"
21610,phenology,8647,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,9207,37.590600000000000,-122.320000000000000,"San Mateo",CA,94401,"San Mateo County",US,07/16/2013,,20609,FL-LATE,Flowers,"Late Flowering"
21612,phenology,8649,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,9209,37.590600000000000,-122.320000000000000,"San Mateo",CA,94401,"San Mateo County",US,07/16/2013,,20611,FR-EARLY,Fruit,"Early Fruiting"
21794,phenology,8714,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,9271,37.590500000000000,-122.321000000000000,"San Mateo",CA,94401,"San Mateo County",US,08/06/2013,,20793,FR-MIDDLE,Fruit,"Middle Fruiting"
21853,phenology,8730,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,9295,37.590500000000000,-122.320000000000000,"San Mateo",CA,94401,"San Mateo County",US,08/13/2013,,20849,FR-MIDDLE,Fruit,"Middle Fruiting"
21937,phenology,8768,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,9350,40.033500000000000,-105.103000000000000,Lafayette,CO,80026,"Boulder County",US,09/02/2013,"Reported from mobile",20923,FL-LATE,Flowers,"Late Flowering"
22689,phenology,5330,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,1270,43.041000000000000,-76.212900000000000,Syracuse,NY,13219,"Onondaga County",US,10/03/2013,,21508,LV-ALLWITHERED,Leaves,"All Leaves Withered"
27468,phenology,10152,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,11343,42.342900000000000,-71.244300000000000,Newton,MA,02466,"Middlesex County",US,02/22/2014,"Common name: Sunflower
Botanical name: Helianthus annuus
Zone: Grow as an annual.
Color: Yellow
Light: Sun
Height: 4-6' (1-2 m)
Habit: Upright
Water: Every other day
Feed: Use all-purpose
Maintenance: Keep weed-free",26079,FL-MIDDLE,Flowers,"Middle Flowering"
27468,phenology,10152,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,11343,42.342900000000000,-71.244300000000000,Newton,MA,02466,"Middlesex County",US,02/22/2014,"Common name: Sunflower
Botanical name: Helianthus annuus
Zone: Grow as an annual.
Color: Yellow
Light: Sun
Height: 4-6' (1-2 m)
Habit: Upright
Water: Every other day
Feed: Use all-purpose
Maintenance: Keep weed-free",26080,FR-NONE,Fruit,None
34424,phenology,11606,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,12924,35.923630000000000,-78.599192000000000,Raleigh,NC,27614,"Wake County",US,07/03/2014,,32582,FL-MIDDLE,Flowers,"Middle Flowering"
45273,phenology,13258,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,15698,32.742262000000000,-97.362162000000000,"Fort Worth",TX,76107,"Tarrant County",US,03/23/2015,"Not out yet.",42790,FL-NONE,Flowers,None
45273,phenology,13258,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,15698,32.742262000000000,-97.362162000000000,"Fort Worth",TX,76107,"Tarrant County",US,03/23/2015,"Not out yet.",42791,FR-NONE,Fruit,None
48962,phenology,14030,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,16115,40.147970000000000,-105.105300000000000,Longmont,CO,80501,"Boulder County",US,04/13/2015,"It took longer than I expected researchin
learning more about the flower.",46310,FL-FIRST,Flowers,"First Flower"
60860,phenology,15778,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,19509,32.766800000000000,-96.599160000000000,Mesquite,TX,75149,"Dallas County",US,12/14/2015,,57818,FL-EARLY,Flowers,"Early Flowering"
60860,phenology,15778,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,19509,32.766800000000000,-96.599160000000000,Mesquite,TX,75149,"Dallas County",US,12/14/2015,,57819,FR-NONE,Fruit,None
63702,phenology,16429,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,20268,39.387519000000000,-94.846001000000000,Weston,MO,64098,"Platte County",US,06/15/2015,,60492,FL-MIDDLE,Flowers,"Middle Flowering"
63702,phenology,16429,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,20268,39.387519000000000,-94.846001000000000,Weston,MO,64098,"Platte County",US,06/15/2015,,60493,FR-NONE,Fruit,None
65048,phenology,16807,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,20682,35.374494000000000,-98.776703000000000,Corn,OK,73024,"Washita County",US,04/23/2016,,61805,FL-MIDDLE,Flowers,"Middle Flowering"
65048,phenology,16807,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,20682,35.374494000000000,-98.776703000000000,Corn,OK,73024,"Washita County",US,04/23/2016,,61806,FR-MIDDLE,Fruit,"Middle Fruiting"
68931,phenology,17679,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,21708,38.699610000000000,-90.286700000000000,"St. Louis",MO,63121,"St Louis County",US,06/28/2016,"54"" tall, 6"" flower diameter",65370,FL-FIRST,Flowers,"First Flower"
69455,phenology,17852,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,21895,38.895590000000000,-77.510770000000000,Chantilly,VA,20152,"Loudoun County",US,08/19/2016,,65893,FL-MIDDLE,Flowers,"Middle Flowering"
69455,phenology,17852,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,21895,38.895590000000000,-77.510770000000000,Chantilly,VA,20152,"Loudoun County",US,08/19/2016,,65894,FR-NONE,Fruit,None
70108,phenology,18011,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,22119,42.130821000000000,-72.487793000000000,Springfield,MA,01129,"Hampden County",US,09/26/2016,,66536,FL-LATE,Flowers,"Late Flowering"
70108,phenology,18011,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,22119,42.130821000000000,-72.487793000000000,Springfield,MA,01129,"Hampden County",US,09/26/2016,,66537,FR-LATE,Fruit,"Late Fruiting"
80472,phenology,20247,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,24857,37.674610000000000,-122.131110000000000,"San Lorenzo",CA,94580,"Alameda County",US,04/24/2017,"The sunflower is still really small and short. But it's starting to open up.",76163,FL-EARLY,Flowers,"Early Flowering"
80472,phenology,20247,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,24857,37.674610000000000,-122.131110000000000,"San Lorenzo",CA,94580,"Alameda County",US,04/24/2017,"The sunflower is still really small and short. But it's starting to open up.",76164,FR-EARLY,Fruit,"Early Fruiting"
80681,phenology,20300,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,24911,38.610574000000000,-121.766830000000000,Woodland,CA,95776,"Yolo County",US,04/30/2017,"Multiple-stemmed sunflowers in the median in the middle of Highway 113.",76351,FL-EARLY,Flowers,"Early Flowering"
80681,phenology,20300,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,24911,38.610574000000000,-121.766830000000000,Woodland,CA,95776,"Yolo County",US,04/30/2017,"Multiple-stemmed sunflowers in the median in the middle of Highway 113.",76352,FR-NONE,Fruit,None
81292,phenology,20436,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,25048,31.689832000000000,-106.208267000000000,"Horizon City",TX,79928,"El Paso County",US,05/03/2017,,76920,FL-MIDDLE,Flowers,"Middle Flowering"
81292,phenology,20436,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,25048,31.689832000000000,-106.208267000000000,"Horizon City",TX,79928,"El Paso County",US,05/03/2017,,76921,FR-MIDDLE,Fruit,"Middle Fruiting"
81303,phenology,20440,135,"Annual sunflower",Asteraceae,Helianthus,annuus,,,,,,WH,1,25052,31.689339000000000,-106.214018000000000,"Horizon City",TX,79928,"El Paso County",US,05/03/2017,,76931,FL-MIDDLE,Flowers,"Middle Flowering"
